match_id,tourn_id,consol_ind,team_id_1,team_id_2,maint_dtm,maint_app,create_dtm,create_app
M1,T1,N,T1,T2,2022-04-09 03:19:33.840951+00:00,postgres,2022-04-09 03:19:33.840951+00:00,postgres
M2,T2,N,T2,T3,2022-05-26 00:45:11.301752+00:00,postgres,2022-05-26 00:45:11.301752+00:00,postgres
M5,T5,N,T6,T5,2022-06-28 00:40:22.948360+00:00,postgres,2022-06-28 00:40:22.948360+00:00,postgres
M6,T6,N,T5,T7,2022-07-07 23:01:45.921540+00:00,postgres,2022-07-07 23:01:45.921540+00:00,postgres
M7,T7,N,T8,T9,2022-07-11 02:40:50.597016+00:00,postgres,2022-07-11 02:40:50.597016+00:00,postgres
M8,T4,N,T10,T4,2022-08-02 20:35:58.875994+00:00,postgres,2022-08-02 20:35:58.875994+00:00,postgres
M9,T8,Y,T11,T12,2022-08-03 03:15:49.034468+00:00,postgres,2022-08-03 03:15:49.034468+00:00,postgres
M10,T7,N,T13,T14,2022-08-08 03:10:56.817594+00:00,postgres,2022-08-08 03:10:56.817594+00:00,postgres
M11,T9,N,T15,T16,2022-08-15 00:54:02.956601+00:00,postgres,2022-08-15 00:54:02.956601+00:00,postgres
M12,T10,N,T17,T18,2022-08-15 02:15:40.900059+00:00,postgres,2022-08-15 02:15:40.900059+00:00,postgres
M13,T4,N,T19,T3,2022-08-21 23:41:00.095261+00:00,postgres,2022-08-21 23:41:00.095261+00:00,postgres
M4,T4,N,T4,T5,2022-06-20 19:06:21.630074+00:00,postgres,2022-06-20 19:06:21.630074+00:00,postgres
M14,T11,N,T20,T21,2022-08-29 22:54:30.000230+00:00,postgres,2022-08-29 22:54:30.000230+00:00,postgres
M15,T12,N,T22,T23,2022-08-31 01:55:18.187296+00:00,postgres,2022-08-31 01:55:18.187296+00:00,postgres
M16,T13,Y,T24,T12,2022-09-09 17:20:52.878030+00:00,postgres,2022-09-09 17:20:52.878030+00:00,postgres
M17,T14,N,T25,T26,2022-09-11 19:28:43.014099+00:00,postgres,2022-09-11 19:28:43.014099+00:00,postgres
M18,T13,N,T12,T27,2022-09-11 19:40:31.489957+00:00,postgres,2022-09-11 19:40:31.489957+00:00,postgres
M19,T15,N,T28,T29,2022-09-23 03:01:15.376701+00:00,postgres,2022-09-23 03:01:15.376701+00:00,postgres
M20,T16,N,T30,T31,2022-09-23 03:03:50.054115+00:00,postgres,2022-09-23 03:03:50.054115+00:00,postgres
M21,T17,Y,T32,T33,2022-09-25 21:44:31.811714+00:00,postgres,2022-09-25 21:44:31.811714+00:00,postgres
M22,T18,Y,T34,T35,2022-10-04 03:31:19.608104+00:00,postgres,2022-10-04 03:31:19.608104+00:00,postgres
M23,T19,N,T36,T37,2022-10-05 02:00:45.403728+00:00,postgres,2022-10-05 02:00:45.403728+00:00,postgres
M24,T20,N,T32,T38,2022-10-16 19:22:34.945794+00:00,postgres,2022-10-16 19:22:34.945794+00:00,postgres
M25,T20,N,T39,T40,2022-10-20 22:42:52.079998+00:00,postgres,2022-10-20 22:42:52.079998+00:00,postgres
M27,T22,Y,T40,T41,2022-11-05 20:32:46.560011+00:00,aspancake,2022-11-05 20:32:46.560011+00:00,aspancake
M28,T21,N,T42,T43,2022-11-07 02:44:59.047469+00:00,aspancake,2022-11-07 02:44:59.047469+00:00,aspancake
M29,T21,N,T13,T5,2022-11-07 04:11:40.469874+00:00,aspancake,2022-11-07 04:11:40.469874+00:00,aspancake
M30,T23,Y,T44,T45,2022-11-15 04:10:03.132044+00:00,aspancake,2022-11-15 04:10:03.132044+00:00,aspancake
M31,T24,N,T46,T47,2022-11-21 19:35:11.172611+00:00,aspancake,2022-11-21 19:35:11.172611+00:00,aspancake
